Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.41074,0.50322,0.76092,0,0,0,26.565,0.31171,-1.1596E-17,-7.1151E-17,3.215,1.7952E-17,2.9508,0,0,0,0,0,0,package://car/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/base_link.STL,,Chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_axle_link,0.060564,0.025,1.0193E-08,0,0,0,0.22513,6.9951E-05,-1.9389E-10,-2.5215E-10,0.0006423,-2.1139E-10,0.00063284,0,0,0,0,0,0,package://car/meshes/front_left_axle_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/front_left_axle_link.STL,,Axle-5,Origin_front_left_axle_joint,FrontLeftAxleAxis,front_left_axle_joint,revolute,0.86074,-0.51092,0.47757,1.5708,0,1.5708,base_link,1,0,0,100,100,-2,2,,,,,,,,
front_left_wheel_link,0,1.6653E-16,-0.025,0,0,0,6.2101,0.072146,0,4.3745E-19,0.072146,3.3826E-19,0.14189,0,0,0,0,0,0,package://car/meshes/front_left_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/front_left_wheel_link.STL,,tire-4;wheel-3,Origin_front_left_wheel_joint,FrontLeftAxis,front_left_wheel_joint,continuous,0.1,0.025,0,-1.5708,-1.0275,1.5708,front_left_axle_link,0.51699,0.85599,0,5,200,,,,,,,,,,
front_right_axle_link,0.060564,0.025,-1.0193E-08,0,0,0,0.22513,6.9951E-05,1.9389E-10,2.5215E-10,0.0006423,-2.1139E-10,0.00063284,0,0,0,0,0,0,package://car/meshes/front_right_axle_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/front_right_axle_link.STL,,Axle-4,Origin_front_right_axle_joint,FrontRightAxleAxis,front_right_axle_joint,revolute,0.86074,-1.0109,0.47757,1.5708,0,-1.5708,base_link,1,0,0,100,100,-2,2,,,,,,,,
front_right_wheel_link,-3.3307E-16,-2.7756E-16,0.025,0,0,0,6.2101,0.072146,-3.4694E-18,-6.696E-18,0.072146,5.2123E-18,0.14189,0,0,0,0,0,0,package://car/meshes/front_right_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/front_right_wheel_link.STL,,tire-1;wheel-1,Origin_front_right_wheel_joint,FrontRightRotateAxis,front_right_wheel_joint,continuous,0.1,0.025,0,-1.5708,-0.69172,-1.5708,front_right_axle_link,0.77015,0.63786,0,5,200,,,,,,,,,,
rear_left_axle_link,0.060564,0.025,1.0193E-08,0,0,0,0.22513,6.9951E-05,-1.9389E-10,-2.5215E-10,0.0006423,-2.1139E-10,0.00063284,0,0,0,0,0,0,package://car/meshes/rear_left_axle_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/rear_left_axle_link.STL,,Axle-6,Origin_rear_left_axle_joint,RearLeftAxleAxis,rear_left_axle_joint,fixed,-0.039261,-0.51092,0.47757,1.5708,0,1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
rear_left_wheel_link,0,0,-0.025,0,0,0,6.2101,0.072146,-5.2042E-18,-4.2188E-19,0.072146,-2.2285E-19,0.14189,0,0,0,0,0,0,package://car/meshes/rear_left_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/rear_left_wheel_link.STL,,tire-3;wheel-4,Origin_rear_left_wheel_joint,RearLeftAxis,rear_left_wheel_joint,continuous,0.1,0.025,0,1.5708,-1.0764,-1.5708,rear_left_axle_link,-0.47452,0.88024,0,5,200,,,,,,,,,,
rear_right_axle_link,0.060564,-0.025,-1.0193E-08,0,0,0,0.22513,6.9951E-05,1.9389E-10,2.5215E-10,0.0006423,-2.1139E-10,0.00063284,0,0,0,0,0,0,package://car/meshes/rear_right_axle_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/rear_right_axle_link.STL,,Axle-8,Origin_rear_right_axle_joint,RearRightAxleAxis,rear_right_axle_joint,fixed,-0.039261,-1.0109,0.47757,-1.5708,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
rear_right_wheel_link,0,-1.1102E-16,0.025,0,0,0,6.2101,0.072146,-6.9389E-18,-9.6049E-18,0.072146,2.2266E-18,0.14189,0,0,0,0,0,0,package://car/meshes/rear_right_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/rear_right_wheel_link.STL,,wheel-2;tire-2,Origin_rear_right_wheel_joint,RearRightAxis,rear_right_wheel_joint,continuous,0.1,-0.025,0,1.5708,1.2662,1.5708,rear_right_axle_link,-0.29991,-0.95397,0,5,200,,,,,,,,,,
base_rotation_link,0,0.014675,0.0026465,0,0,0,0.4637,0.00099547,-6.0846E-21,-3.1527E-22,0.0016871,-2.4943E-05,0.0009332,0,0,0,0,0,0,package://car/meshes/base_rotation_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/base_rotation_link.STL,,link1-1,Origin_base_rotation_joint,BaseRotationAxis,base_rotation_joint,revolute,0.41074,-0.76092,0.56257,1.5708,0,0,base_link,0,1,0,300,10,0,6.28,,,,,,,,
leg1_2_link,0.209282308677025,5.55111512312578E-17,-0.0488397578259872,0,0,0,1.0576969686113,0.000471758035513895,-2.95772365879855E-18,-0.000234045819519474,0.0171278880451077,-2.96554751433924E-19,0.0170643960635634,0,0,0,0,0,0,package://car/meshes/leg1_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car/meshes/leg1_2_link.STL,,link2-2,Origin_leg1_2_joint,leg1_2_Axis,leg1_2_joint,revolute,0,0.035,0,3.1416,0,1.5708,base_rotation_link,0,0.22933,-0.97335,300,10,0,6.28,,,,,,,,
leg2_3_link,0.20928,-1.1102E-16,0.0011602,0,0,0,1.0577,0.00047176,4.4252E-18,-0.00023405,0.017128,-5.4458E-21,0.017064,0,0,0,0,0,0,package://car/meshes/leg2_3_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/leg2_3_link.STL,,link3-1,Origin_leg2_3_joint,leg2_3_Axis,leg2_3_joint,revolute,0.4,0,0,3.1416,0,0,leg1_2_link,0,0.22933,-0.97335,300,10,0,6.28,,,,,,,,
leg3_4_link,0.20928,5.5511E-17,-0.04884,0,0,0,1.0577,0.00047176,-3.2988E-18,-0.00023405,0.017128,2.5023E-20,0.017064,0,0,0,0,0,0,package://car/meshes/leg3_4_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/leg3_4_link.STL,,link4-1,Origin_leg3_4_joint,leg3_4_Axis,leg3_4_joint,revolute,0.4,0,0,3.1416,0,0,leg2_3_link,0,0.22933,-0.97335,300,10,0,6.28,,,,,,,,
endeffector_link,-1.3895E-08,1.7044E-08,-0.0059485,0,0,0,0.087096,5.363E-05,-7.6868E-11,-3.8007E-11,5.0186E-05,2.487E-11,4.1087E-05,0,0,0,0,0,0,package://car/meshes/endeffector_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/endeffector_link.STL,,link5-1,Origin_endeffector_joint,endeffector_Axis,endeffector_joint,revolute,0.4,0,0,3.1416,-1.5708,0,leg3_4_link,1,0,0,300,10,0,6.28,,,,,,,,
ClawTop_link,-0.039623,0.00070257,6.6613E-16,0,0,0,0.035453,3.211E-06,-4.8238E-07,1.0833E-21,3.9819E-05,-3.9371E-23,3.7713E-05,0,0,0,0,0,0,package://car/meshes/ClawTop_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/ClawTop_link.STL,,claw-1,Origin_ClawTop_joint,ClawTop,ClawTop_joint,revolute,0,0.02,-0.045,-1.5708,-1.4538,1.5708,endeffector_link,0,0,-1,300,10,0,1.57,,,,,,,,
ClawBottom_link,-0.039623,0.00070257,-9.992E-16,0,0,0,0.035453,3.211E-06,-4.8238E-07,1.0326E-20,3.9819E-05,-6.0194E-22,3.7713E-05,0,0,0,0,0,0,package://car/meshes/ClawBottom_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/ClawBottom_link.STL,,claw-2,Origin_ClawBottom_joint,ClawBottom,ClawBottom_joint,revolute,0,-0.02,-0.045,-1.5708,-1.499,-1.5708,endeffector_link,0,0,1,300,10,0,1.57,,,,,,,,
